               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.067639,            0.032185,                   0,           0.0016667,                 0.5,           0.0050512,           0.0028218,            0.034706,            0.027384,                   0,               0.082,               0.002,               0.002
                   1,            0.069148,            0.033007,                   0,           0.0031664,                 0.5,             0.02105,           0.0069748,             0.03407,            0.026442,                   0,            0.063019,           0.0040188,           0.0040188
                   2,             0.05632,            0.031738,                   0,            0.013373,                 0.5,              0.1345,             0.06312,            0.031959,            0.024437,                   0,            0.043954,           0.0059545,           0.0059545
                   3,            0.058244,              0.0311,                   0,            0.013373,                 0.5,              0.1345,             0.06312,            0.031959,            0.024437,                   0,            0.024807,            0.007807,            0.007807
                   4,            0.059233,            0.032526,                   0,            0.013373,                 0.5,              0.1345,             0.06312,            0.031959,            0.024437,                   0,            0.009208,            0.009208,            0.009208
                   5,            0.061858,            0.033834,                   0,           0.0016667,                 0.5,             0.16542,            0.021535,            0.034785,            0.020292,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.047084,            0.030292,                   0,           0.0016667,                 0.5,             0.16542,            0.021535,            0.034785,            0.020292,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.053191,            0.030233,                   0,           0.0016667,                 0.5,             0.16542,            0.021535,            0.034785,            0.020292,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.055626,            0.027683,                   0,           0.0033333,                   1,            0.090903,            0.049484,            0.030246,            0.019151,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.050981,            0.027027,                   0,           0.0033333,                   1,            0.090903,            0.049484,            0.030246,            0.019151,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.049298,            0.028177,                   0,           0.0033333,                   1,            0.090903,            0.049484,            0.030246,            0.019151,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.042287,            0.027746,                   0,           0.0033333,                   1,            0.031134,            0.018044,            0.032256,            0.016942,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.050545,            0.028077,                   0,           0.0033333,                   1,            0.031134,            0.018044,            0.032256,            0.016942,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.052832,            0.025602,                   0,           0.0033333,                   1,            0.031134,            0.018044,            0.032256,            0.016942,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.057061,             0.02717,                   0,           0.0033333,                   1,            0.031134,            0.018044,            0.032256,            0.016942,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.047886,            0.024265,                   0,           0.0033333,                   1,            0.024363,            0.010718,             0.03378,            0.015114,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.050997,            0.024253,                   0,           0.0033333,                   1,            0.024363,            0.010718,             0.03378,            0.015114,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.048358,            0.024303,                   0,           0.0033333,                   1,            0.024363,            0.010718,             0.03378,            0.015114,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.049068,            0.024597,                   0,           0.0033333,                   1,            0.067195,            0.023477,            0.034566,            0.014172,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.048087,            0.021467,                   0,           0.0033333,                   1,            0.067195,            0.023477,            0.034566,            0.014172,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.045675,            0.020362,                   0,           0.0033333,                   1,            0.067195,            0.023477,            0.034566,            0.014172,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.045236,            0.020938,                   0,           0.0033333,                   1,            0.055536,            0.026589,              0.0304,            0.013945,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.040149,            0.020345,                   0,           0.0033333,                   1,            0.055536,            0.026589,              0.0304,            0.013945,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.055458,            0.022202,                   0,           0.0033333,                   1,            0.055536,            0.026589,              0.0304,            0.013945,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.053384,            0.020773,                   0,           0.0033333,                   1,             0.10211,            0.031286,             0.03204,             0.01288,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.054087,            0.021808,                   0,           0.0033333,                   1,             0.10211,            0.031286,             0.03204,             0.01288,                   0,            0.005248,            0.005248,            0.005248
