               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11723,            0.017431,                   0,             0.01067,              0.3125,            0.011887,           0.0021709,            0.097188,            0.015065,                   0,              0.0748,              0.0028,              0.0028
                   1,             0.10446,            0.016902,                   0,           0.0050507,              0.5625,            0.011963,           0.0019542,             0.08429,            0.015481,                   0,            0.048587,           0.0055871,           0.0055871
                   2,            0.096336,            0.020175,                   0,            0.013691,              0.3125,              0.0158,            0.002662,            0.074327,            0.015632,                   0,            0.022259,           0.0082594,           0.0082594
                   3,            0.094987,            0.020302,                   0,           0.0030066,                0.75,            0.024401,           0.0059122,            0.072492,            0.014913,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.084773,            0.020169,                   0,            0.014609,                0.75,            0.085081,            0.017687,            0.070852,            0.013816,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.083799,            0.020616,                   0,            0.014609,                0.75,            0.085081,            0.017687,            0.070852,            0.013816,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.090483,             0.02061,                   0,            0.040264,                 0.5,            0.094117,            0.019804,            0.069026,            0.013156,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.083486,            0.018367,                   0,             0.16303,              0.5625,             0.27332,            0.051471,             0.06675,            0.012803,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.085664,            0.017325,                   0,             0.26143,              0.5625,             0.30149,            0.071353,            0.062967,            0.012853,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.081706,            0.018955,                   0,             0.38481,             0.31278,             0.37431,             0.10704,            0.063203,            0.012523,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.077146,             0.02107,                   0,             0.17479,              0.3125,             0.12179,             0.03769,            0.063191,            0.012191,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.078364,            0.017912,                   0,             0.41436,               0.625,             0.40028,             0.12405,            0.055581,            0.012677,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.076741,            0.018452,                   0,             0.35224,              0.4375,             0.35469,             0.13139,            0.059256,            0.011922,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.070269,            0.018078,                   0,             0.44048,               0.375,             0.35333,             0.11091,            0.057902,             0.01136,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.067607,            0.020697,                   0,             0.29004,               0.625,             0.51183,             0.16185,            0.058575,            0.011527,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.073076,             0.01833,                   0,             0.27745,             0.69617,             0.54509,             0.18466,            0.054191,            0.011579,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.066451,            0.015394,                   0,             0.27745,             0.69617,             0.54509,             0.18466,            0.054191,            0.011579,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.069226,            0.019436,                   0,             0.29349,              0.6875,             0.43676,             0.14772,            0.055596,            0.011115,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.069977,            0.019606,                   0,             0.45168,             0.82406,             0.48591,             0.16873,             0.05259,            0.011099,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.066259,            0.018307,                   0,             0.34098,               0.875,             0.49995,             0.21957,            0.048317,            0.011183,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.065389,            0.018551,                   0,             0.33987,               0.875,             0.63029,             0.16516,            0.049964,            0.010584,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.060941,            0.017221,                   0,             0.38006,              0.9375,             0.58047,             0.20271,            0.044636,            0.010849,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.065759,            0.017367,                   0,             0.15087,                 0.5,             0.16551,            0.049437,            0.056781,           0.0094452,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.062602,            0.016999,                   0,             0.43127,               0.625,             0.65503,             0.24742,             0.04311,            0.010608,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.057489,            0.016593,                   0,             0.42721,               0.625,              0.6052,             0.22067,            0.047008,            0.010255,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.055121,            0.016716,                   0,             0.56537,              0.6875,             0.72399,              0.2179,            0.046889,           0.0099667,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.055229,            0.016067,                   0,             0.53559,                 0.5,             0.64429,             0.28067,            0.042476,            0.010278,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.053995,            0.017856,                   0,             0.53559,                 0.5,             0.64429,             0.28067,            0.042476,            0.010278,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.055828,            0.016415,                   0,              0.5606,               0.625,             0.70674,             0.33448,            0.040672,            0.010176,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.050879,            0.016407,                   0,             0.60431,               0.625,             0.76432,             0.34992,            0.039583,            0.010161,                   0,            0.004456,            0.004456,            0.004456
