               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11723,            0.017431,                   0,             0.01067,              0.3125,            0.011887,           0.0021709,            0.097188,            0.015065,                   0,              0.0748,              0.0028,              0.0028
                   1,             0.10445,            0.016901,                   0,           0.0044947,                 0.5,           0.0095945,           0.0017644,             0.08422,            0.015478,                   0,            0.048644,           0.0056436,           0.0056436
                   2,            0.096224,            0.020191,                   0,            0.019695,                0.25,            0.023139,           0.0048169,            0.073723,            0.015674,                   0,             0.02243,           0.0084297,           0.0084297
                   3,            0.094914,            0.020336,                   0,           0.0055404,                0.75,            0.031199,           0.0067947,             0.07151,            0.014919,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.085098,            0.020088,                   0,           0.0029167,               0.875,            0.048828,           0.0097122,            0.071887,            0.013722,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.083628,            0.020632,                   0,           0.0029167,               0.875,            0.048828,           0.0097122,            0.071887,            0.013722,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.091722,            0.020468,                   0,            0.008063,                0.75,            0.040658,           0.0086564,            0.070395,            0.013022,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.084038,            0.018274,                   0,             0.18573,                0.25,             0.23098,             0.04735,            0.065683,            0.013055,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.084412,            0.017604,                   0,            0.072831,               0.375,             0.13935,             0.05023,            0.068659,            0.012725,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.081612,            0.019174,                   0,             0.25756,               0.625,             0.34679,             0.11857,             0.06106,            0.013035,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.077252,            0.021025,                   0,            0.057068,                 0.5,            0.089796,            0.024246,            0.067652,            0.011427,                   0,            0.009109,            0.009109,            0.009109
                  11,             0.07779,             0.01795,                   0,             0.30995,               0.625,             0.42918,             0.11567,            0.061557,            0.012175,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.076765,             0.01872,                   0,             0.48128,              0.4649,             0.41881,             0.13896,            0.059892,            0.011822,                   0,            0.008911,            0.008911,            0.008911
                  13,             0.07132,            0.018252,                   0,             0.22981,              0.5625,              0.2456,            0.079206,            0.059136,            0.011677,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.069317,            0.020864,                   0,             0.73937,              0.3564,             0.58828,             0.23452,             0.05922,            0.011579,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.074359,            0.018505,                   0,             0.43858,               0.625,             0.46275,             0.18687,            0.058408,            0.011227,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.067418,            0.015207,                   0,             0.43858,               0.625,             0.46275,             0.18687,            0.058408,            0.011227,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.069546,             0.01913,                   0,             0.45312,              0.4375,             0.43188,             0.16573,            0.059748,            0.010845,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.071799,            0.019186,                   0,             0.47844,              0.4375,             0.43317,             0.14747,               0.057,            0.010848,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.070478,            0.017282,                   0,             0.61881,              0.4375,             0.55385,             0.17695,            0.052232,             0.01122,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.069168,            0.017887,                   0,             0.49332,             0.36582,             0.49425,             0.18538,            0.051525,            0.011078,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.063749,            0.016882,                   0,              0.6339,                 0.5,              0.5714,             0.21428,            0.050323,            0.011105,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.073528,            0.016314,                   0,             0.38246,              0.1875,             0.34967,             0.10319,            0.059206,           0.0097998,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.067132,             0.01649,                   0,             0.50629,             0.44929,             0.58074,              0.2242,            0.042478,            0.011258,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.062174,             0.01636,                   0,             0.30823,              0.1875,             0.35987,             0.10124,            0.053749,            0.010192,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.058873,            0.016737,                   0,             0.50435,               0.625,              0.5087,             0.21238,             0.05011,            0.010194,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.056156,            0.016641,                   0,             0.47112,                 0.5,             0.49714,             0.23041,             0.04433,            0.010443,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.054837,            0.018291,                   0,             0.47112,                 0.5,             0.49714,             0.23041,             0.04433,            0.010443,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.056979,            0.016881,                   0,             0.49928,               0.625,             0.54066,             0.24106,            0.044674,            0.010068,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.050038,            0.016923,                   0,             0.47645,               0.625,             0.58215,             0.25181,            0.042014,            0.010088,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.051778,            0.017002,                   0,             0.79648,             0.73458,             0.83132,             0.43254,            0.036599,            0.010366,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.048777,            0.017582,                   0,             0.55386,              0.6875,             0.78236,             0.33149,            0.037455,           0.0099897,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.049944,             0.01928,                   0,             0.65699,             0.71916,             0.62525,             0.26388,            0.039665,           0.0097203,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.046755,            0.016981,                   0,             0.70428,             0.74456,             0.67551,             0.31621,            0.040226,           0.0092398,                   0,            0.006832,            0.006832,            0.006832
                  34,              0.0514,            0.016199,                   0,             0.48939,             0.59981,             0.62349,             0.30482,            0.041993,           0.0085361,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.053122,            0.015011,                   0,             0.52368,             0.75609,             0.68744,             0.28721,            0.038239,            0.008957,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.045922,            0.016868,                   0,             0.59693,                0.75,             0.76926,             0.29328,            0.040959,           0.0084618,                   0,            0.006535,            0.006535,            0.006535
                  37,              0.0516,            0.015364,                   0,             0.59693,                0.75,             0.76926,             0.29328,            0.040959,           0.0084618,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.061291,            0.014225,                   0,             0.59327,             0.63876,             0.60666,             0.22714,            0.046123,           0.0080754,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.057375,             0.01332,                   0,             0.49874,              0.6875,             0.66914,             0.26735,            0.045108,           0.0079795,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.051271,            0.013182,                   0,              0.6024,              0.8125,             0.81445,             0.42231,            0.039224,           0.0082336,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.046994,            0.014996,                   0,             0.59051,               0.875,             0.81151,             0.46117,            0.034893,           0.0084485,                   0,             0.00604,             0.00604,             0.00604
